대학명,대학코드,캠퍼스,전형분류,전형명,반영학년도,진로선택_반영비율,일반선택_반영비율,반영교과_인문,반영교과_자연,등급환산방식,반영지표,수능최저,출처URL,비고
가야대학교,0002748,본교,학생부교과,일반학생전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255224&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0002748&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
가천대학교,0000063,본교,학생부교과,지역균형 전형,2027,60,40,국·수·영·사·과,국·수·영·사·과,평균등급 근사(공식 환산점수 아님),혼합,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242952&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000063&searchSyr=2027,"gate_pass. 2027 수시모집요강 44쪽, 85~87쪽 원문 확인. 간이층 평균등급 근사."
가천대학교,0000063,본교,학생부교과,특성화고교 전형,2027,0,100,국·수·영·사,국·수·영·과,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242952&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000063&searchSyr=2027,수동보정. 모집요강 반영방법 기준으로 진로선택 미반영 처리. 공식 환산점수 아님.
가천대학교,0000063,본교,학생부교과,학생부우수자 전형,2027,0,100,국·수·영·사,국·수·영·과,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242952&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000063&searchSyr=2027,수동보정. 기존 프로토타입 및 모집요강 반영방법 기준. 진로선택 미반영. 공식 환산점수 아님.
가톨릭대학교,0000046,본교,학생부교과,지역균형전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245155&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000046&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
가톨릭대학교,0000046,본교,학생부교과,특성화고교졸업자전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245155&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000046&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
강남대학교,0000051,본교,학생부교과,지역균형전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242900&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000051&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
강남대학교,0000051,본교,학생부교과,특성화고교졸업자전형,2027,0,100,전과목,전과목,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242900&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000051&searchSyr=2027,자동초안:subject=ALL_SUBJECTS|ratio=DEFAULT_GENERAL100_REVIEW|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
강서대학교,0000079,본교,학생부교과,교과우수자전형,2027,0,100,국·수·영·사·과,국·수·영·사·과,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255087&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000079&searchSyr=2027,자동초안:subject=ALL5|ratio=PDF_CAREER_NOT_REFLECTED|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
강서대학교,0000079,본교,학생부교과,일반학생전형,2027,0,100,국·수·영·사·과,국·수·영·사·과,평균등급 근사(공식 환산점수 아님),등급,없음,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255087&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000079&searchSyr=2027,자동초안:subject=ALL5|ratio=PDF_CAREER_NOT_REFLECTED|minreq=NO. 점수표 없이 간이 평균등급 추천용으로 포함. 공식 환산점수 아님.
